"","Date","Time","lat","lng","Wind","Pressure","Storm Type","Category","Category_chr","Name"
"1","Aug 30","15:00 GMT",16.4,-30.3,"50 mph","1004 mb","Tropical Storm","-","None","Irma"
"2","Aug 30","21:00 GMT",16.4,-31.2,"60 mph","1001 mb","Tropical Storm","-","None","Irma"
"3","Aug 31","03:00 GMT",16.4,-32.2,"65 mph","999 mb","Tropical Storm","-","None","Irma"
"4","Aug 31","09:00 GMT",16.5,-32.9,"70 mph","997 mb","Tropical Storm","-","None","Irma"
"5","Aug 31","15:00 GMT",16.9,-33.8,"100 mph","979 mb","Hurricane","2","Two","Irma"
"6","Aug 31","21:00 GMT",17.3,-34.8,"115 mph","967 mb","Hurricane","3","Three","Irma"
"7","Sep 01","03:00 GMT",17.8,-35.6,"115 mph","967 mb","Hurricane","3","Three","Irma"
"8","Sep 01","09:00 GMT",18.2,-36.5,"115 mph","967 mb","Hurricane","3","Three","Irma"
"9","Sep 01","15:00 GMT",18.5,-37.8,"110 mph","972 mb","Hurricane","2","Two","Irma"
"10","Sep 01","21:00 GMT",18.8,-39.1,"120 mph","964 mb","Hurricane","3","Three","Irma"
"11","Sep 02","03:00 GMT",19.1,-40.5,"115 mph","967 mb","Hurricane","3","Three","Irma"
"12","Sep 02","09:00 GMT",19,-41.8,"110 mph","970 mb","Hurricane","2","Two","Irma"
"13","Sep 02","15:00 GMT",18.8,-43.3,"110 mph","973 mb","Hurricane","2","Two","Irma"
"14","Sep 02","21:00 GMT",18.5,-44.6,"110 mph","973 mb","Hurricane","2","Two","Irma"
"15","Sep 03","03:00 GMT",18.3,-46.2,"110 mph","973 mb","Hurricane","2","Two","Irma"
"16","Sep 03","09:00 GMT",18,-47.5,"115 mph","969 mb","Hurricane","3","Three","Irma"
"17","Sep 03","15:00 GMT",17.7,-48.4,"115 mph","969 mb","Hurricane","3","Three","Irma"
"18","Sep 03","21:00 GMT",17.6,-49.8,"115 mph","969 mb","Hurricane","3","Three","Irma"
"19","Sep 04","00:00 GMT",17.4,-50.3,"115 mph","959 mb","Hurricane","3","Three","Irma"
"20","Sep 04","03:00 GMT",17.2,-51,"115 mph","961 mb","Hurricane","3","Three","Irma"
"21","Sep 04","06:00 GMT",17,-51.5,"115 mph","961 mb","Hurricane","3","Three","Irma"
"22","Sep 04","09:00 GMT",16.9,-52.3,"115 mph","961 mb","Hurricane","3","Three","Irma"
"23","Sep 04","12:00 GMT",16.8,-52.6,"120 mph","947 mb","Hurricane","3","Three","Irma"
"24","Sep 04","15:00 GMT",16.8,-53.3,"120 mph","944 mb","Hurricane","3","Three","Irma"
"25","Sep 04","18:00 GMT",16.7,-53.8,"120 mph","944 mb","Hurricane","3","Three","Irma"
"26","Sep 04","21:00 GMT",16.7,-54.4,"130 mph","944 mb","Hurricane","4","Four","Irma"
"27","Sep 05","00:00 GMT",16.7,-55,"140 mph","943 mb","Hurricane","4","Four","Irma"
